"Txhash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN","Value_OUT(CELO)","CurrentValue @ $0.901915496452425/CELO","TxnFee(CELO)","TxnFee(USD)","Historical $Price/CELO","Status","ErrCode","Method"
"0x6b9f4815ce63aa71414606c195fec81e5cf724d533df1f4fecba1f2cf1cafb18","18563255","1680484449","2023-04-03 01:14:09","0xade4fbed97ef37f3bfbaf36b575a1b114da92155","0xd152f549545093347a162dce210e7293f1452150","","0.294","0","0.265163155957013","0.00376238","0.00339334882554267","0.65","","","Disperse Ether"
"0x53a247bebe752da5c1c1192b5d278066d1ac5e4e49fa30683be10ab066b30c89","18564415","1680490249","2023-04-03 02:50:49","0xa43926be4ccb032ff89e9565634075af6618e704","0xd152f549545093347a162dce210e7293f1452150","","1.2","0","1.08229859574291","0.03365818","0.0303568341243851","0.65","","","Disperse Ether"
"0x74a7da0f7aa7d2cf77c692728331dba11207da735cc12d6c0b4814b03c219a38","18564425","1680490299","2023-04-03 02:51:39","0xa43926be4ccb032ff89e9565634075af6618e704","0xd152f549545093347a162dce210e7293f1452150","","2.4","0","2.16459719148582","0.06709594","0.0605148680350421","0.65","","","Disperse Ether"
"0xe625d581f1e41f9ad6f8c9b8f4fb7efaa377802fbd2aa8baf2e40d24d2094d5a","18564435","1680490349","2023-04-03 02:52:29","0xa43926be4ccb032ff89e9565634075af6618e704","0xd152f549545093347a162dce210e7293f1452150","","2.4","0","2.16459719148582","0.06709618","0.0605150844947613","0.65","","","Disperse Ether"
"0x364166c39d02e153e62cf3caf9b14c82c634d5c0ae0226a230ea515a9350fdae","18564444","1680490394","2023-04-03 02:53:14","0xa43926be4ccb032ff89e9565634075af6618e704","0xd152f549545093347a162dce210e7293f1452150","","2.4","0","2.16459719148582","0.06709618","0.0605150844947613","0.65","","","Disperse Ether"
"0x62af0896901523f8c991ff129d2c778074c6a4a625fa1791c43b82370a77186c","18564455","1680490449","2023-04-03 02:54:09","0xa43926be4ccb032ff89e9565634075af6618e704","0xd152f549545093347a162dce210e7293f1452150","","1.2","0","1.08229859574291","0.03365854","0.0303571588139638","0.65","","","Disperse Ether"
"0x9b398fd7ab578066a9e065fea105173fc97c01cd621796264aba2940fc1bfedf","18564460","1680490474","2023-04-03 02:54:34","0xa43926be4ccb032ff89e9565634075af6618e704","0xd152f549545093347a162dce210e7293f1452150","","2.4","0","2.16459719148582","0.0670957","0.060514651575323","0.65","","","Disperse Ether"
"0x0510275d3dd74799064ddd21a56e0bf51807e41ae940666ccd522d496732f761","18567747","1680506909","2023-04-03 07:28:29","0x05a688310343fdbbaaae8beaddb9a4dc7b71f8da","0xd152f549545093347a162dce210e7293f1452150","","0.002","0","0.00180383099290485","0.00222595","0.00200761879932828","0.65","","","Disperse Ether"
"0x515b3e5330607a517e23e921edefef2faf5414a900c08f70935eaa30fb39a20d","18568016","1680508254","2023-04-03 07:50:54","0x05a688310343fdbbaaae8beaddb9a4dc7b71f8da","0xd152f549545093347a162dce210e7293f1452150","","1.5","0","1.35287324467864","0.08355105","0.0753559867398714","0.65","","","Disperse Ether"
"0x742d65c9fa9d8ca55a88e9451c5dd3dad90443e0c5976a698b6e871870e781cb","18568314","1680509744","2023-04-03 08:15:44","0x05a688310343fdbbaaae8beaddb9a4dc7b71f8da","0xd152f549545093347a162dce210e7293f1452150","","0.297","0","0.26786890244637","0.0214648","0.019359435748252","0.65","","","Disperse Ether"
